41,167,97,732,18,26,35,11,107,31,13,556,93,47,41,8262,312,47,35,828,30,1127,3,3697,109,68,99,13,385,6308,22,52
34,222,106,778,23,27,45,9,128,30,12,643,92,18,45,8293,291,45,17,865,29,1145,3,4055,66,51,109,8,402,6658,18,48
52,222,98,829,25,26,38,9,139,16,20,595,100,17,39,8182,242,54,17,864,32,1273,3,4019,59,47,108,8,390,7178,26,61
51,220,86,907,25,24,39,8,124,3,19,564,81,24,39,7941,237,37,18,916,30,1337,4,4195,58,36,93,24,378,7713,14,50
47,226,100,1020,20,21,32,8,149,2,22,621,92,38,40,8003,264,38,18,970,29,1410,8,4015,57,47,100,29,379,8395,20,69
43,225,94,1190,20,8,32,14,184,3,23,688,91,50,47,8036,233,38,70,918,28,1507,9,4327,63,49,105,31,387,8838,20,58
65,221,90,1313,25,8,48,15,452,4,10,716,110,70,63,8923,129,39,82,1068,26,1655,7,4475,63,50,123,30,358,9523,28,49
119,275,87,1433,19,4,53,22,462,4,10,744,123,83,86,9051,96,55,83,1140,27,1814,7,4989,68,54,164,41,383,9869,30,50
143,261,75,1543,14,2,58,27,471,22,12,875,163,94,94,9179,111,56,90,1240,28,1957,11,4829,69,71,182,54,343,10612,31,45
131,264,103,1642,16,3,69,34,507,22,8,939,157,96,104,9248,116,49,86,1261,32,1992,14,5420,91,74,208,55,306,11124,23,34
132,225,116,1784,16,10,72,31,508,28,8,1007,188,100,113,9617,140,63,88,1272,37,2036,18,5872,97,93,241,39,284,11436,26,41
148,207,125,1762,19,8,82,32,557,42,5,995,202,100,142,9821,164,60,88,1254,39,2164,14,6417,101,91,284,31,234,11861,25,30
202,229,126,1707,24,8,91,25,519,51,4,1050,201,99,140,9899,200,62,26,1223,47,2301,18,6423,140,53,307,42,195,12763,28,38
170,224,132,1685,20,10,94,36,298,54,26,1127,213,86,129,8985,272,70,32,1230,58,2293,27,7195,154,85,328,46,570,13098,18,50
181,199,162,1735,30,12,105,30,286,62,32,1234,231,96,122,8985,298,57,31,1314,61,2203,36,7272,143,83,333,42,626,13678,19,55
163,194,176,1705,37,15,90,34,242,46,31,1172,223,108,126,8959,305,67,35,1367,78,2245,40,7663,156,94,331,29,607,13483,18,58
173,195,152,1674,36,15,98,28,189,61,27,1297,280,123,162,8851,324,83,33,1590,77,2193,37,7804,172,103,325,30,718,13199,24,71
220,209,149,1546,50,11,116,29,271,62,31,1339,262,166,182,8711,318,91,31,1641,86,2240,37,8387,185,105,343,28,840,13417,37,71
211,225,143,1567,64,12,105,32,216,48,53,1349,239,169,169,8425,273,138,58,1703,100,2148,62,8962,193,112,358,33,865,13462,35,68
197,197,171,1630,65,61,102,48,241,44,55,1404,261,176,210,8387,286,158,61,1929,91,2126,70,9778,155,174,363,20,900,13504,42,84
276,215,168,1724,62,65,87,48,240,50,49,1575,223,201,226,8508,285,165,51,1951,92,2170,68,10400,158,161,359,18,595,13654,56,85
268,213,133,1649,78,71,81,54,269,43,47,1574,264,203,239,8464,303,178,82,1864,117,2274,72,10983,158,167,372,11,764,13934,53,86
